iter	Logloss
0	0.6590813663
1	0.6319161479
2	0.6077363554
3	0.5901464461
4	0.5757208083
5	0.5654813477
6	0.5567161018
7	0.5481717035
8	0.5422301846
9	0.5359130007
10	0.5292378783
11	0.5250323283
12	0.5208542048
13	0.5165370826
14	0.5126354059
15	0.5095279875
16	0.5066233639
17	0.5024224078
18	0.5002038877
19	0.4986022367
20	0.4975146692
21	0.4967907887
22	0.4949108539
23	0.492786764
24	0.4911658739
25	0.4896265395
26	0.4885434944
27	0.4868659522
28	0.4851022116
29	0.4824015709
30	0.4810703764
31	0.4797774409
32	0.4790057035
33	0.4782219064
34	0.4769718557
35	0.4756691082
36	0.4737869878
37	0.4728624062
38	0.4721834879
39	0.4714192011
40	0.4704251359
41	0.4697153762
42	0.4688336671
43	0.4682144191
44	0.4670125974
45	0.4662847612
46	0.4637172505
47	0.4631040725
48	0.4624352557
49	0.4607458761
50	0.4585285203
51	0.4567629244
52	0.4561446225
53	0.4551157413
54	0.4538881744
55	0.4525088757
56	0.4519067569
57	0.4509522704
58	0.4489302066
59	0.4480576057
60	0.4474227938
61	0.4466229274
62	0.4461341608
63	0.4454119866
64	0.4443298461
65	0.4426556172
66	0.4418865226
67	0.4413711165
68	0.4396121183
69	0.4383209684
70	0.4372232054
71	0.4361295651
72	0.4350224742
73	0.4334707566
74	0.4328780538
75	0.4322354465
76	0.431395315
77	0.4304450294
78	0.4299020096
79	0.4292871127
80	0.4282865028
81	0.4279683201
82	0.4275088677
83	0.4266201151
84	0.4261300249
85	0.4240600538
86	0.4231440462
87	0.4216625083
88	0.4208563679
89	0.4196458215
90	0.4184096243
91	0.4177352445
92	0.4170685286
93	0.4163977166
94	0.4152994855
95	0.4140881087
96	0.4132734674
97	0.4121920942
98	0.411148821
99	0.4094980499
100	0.4081614592
101	0.4070979757
102	0.4062295196
103	0.4052647166
104	0.4044636644
105	0.4036569344
106	0.4023452923
107	0.4013910087
108	0.4004929294
109	0.3993885189
110	0.3978186779
111	0.3963638174
112	0.3954649284
113	0.3943325276
114	0.3931944289
115	0.3923652141
116	0.3913569391
117	0.390070576
118	0.3889010362
119	0.3879105118
120	0.3867883463
121	0.3854301815
122	0.384163225
123	0.3827797843
124	0.3816731696
125	0.3806015808
126	0.3792280624
127	0.3781997075
128	0.3770845337
129	0.3762996872
130	0.3749718513
131	0.3736874998
132	0.3725587116
133	0.3709415691
134	0.3702788294
135	0.3683068191
136	0.3674154961
137	0.3664264554
138	0.3653877813
139	0.3644408327
140	0.3636894579
141	0.3627261364
142	0.3618632034
143	0.3609921014
144	0.3590722729
145	0.3578656114
146	0.3566553657
147	0.3557768452
148	0.3548800699
149	0.3538258984
150	0.3531787348
151	0.3522491266
152	0.3507364111
153	0.3492919631
154	0.3478100266
155	0.3463083518
156	0.3456589131
157	0.3439368568
158	0.3428468558
159	0.341849501
160	0.3412904809
161	0.3407955369
162	0.3400887072
163	0.3392784836
164	0.3378282443
165	0.3362967995
166	0.3356446889
167	0.3345784909
168	0.3334374354
169	0.332476168
170	0.3312360239
171	0.3301191877
172	0.3290648963
173	0.3279973881
174	0.3272784506
175	0.3257597102
176	0.3234581648
177	0.3221236294
178	0.321323185
179	0.3198937977
180	0.3189582432
181	0.3174388244
182	0.3165021364
183	0.3160198793
184	0.3152859228
185	0.3135306326
186	0.3124495731
187	0.3114624734
188	0.3106341813
189	0.3098605894
190	0.3089767143
191	0.3079058697
192	0.3070705117
193	0.3056259725
194	0.3048704613
195	0.3037656854
196	0.3029050809
197	0.3023105988
198	0.3014301153
199	0.3007628993
200	0.2997677762
201	0.2985529893
202	0.2980028259
203	0.297074592
204	0.2963718441
205	0.2960987639
206	0.2955214151
207	0.2951069491
208	0.2947890223
209	0.2942482072
210	0.2937392562
211	0.2929027468
212	0.291893496
213	0.2907600639
214	0.2893628847
215	0.2884820882
216	0.2879341565
217	0.2868804245
218	0.2863690673
219	0.285808989
220	0.2849873074
221	0.2842422118
222	0.283089819
223	0.2822604622
224	0.2819059064
225	0.2812008102
226	0.2804753246
227	0.279478532
228	0.2785736835
229	0.2776995416
230	0.2774031426
231	0.2768063321
232	0.2759343476
233	0.2745117549
234	0.2738032453
235	0.2728576121
236	0.2719905808
237	0.2708967743
238	0.2699783295
239	0.2694646238
240	0.2692536165
241	0.268260315
242	0.2675629056
243	0.2666345565
244	0.2660493805
245	0.2654824424
246	0.264694464
247	0.2639477049
248	0.2631945661
249	0.2624862725
250	0.2618538317
251	0.2613880243
252	0.2610674454
253	0.2604474677
254	0.259710922
255	0.2591008845
256	0.2585609127
257	0.2578028728
258	0.2573194647
259	0.2564003056
260	0.2557637403
261	0.2553405543
262	0.2549175411
263	0.2541232933
264	0.2534460283
265	0.25287962
266	0.2523957752
267	0.2522093733
268	0.2511171416
269	0.2504439976
270	0.2499641896
271	0.2495360655
272	0.2491183678
273	0.2484113484
274	0.2479091141
275	0.2473539404
276	0.2468391847
277	0.2465232037
278	0.246262495
279	0.245561542
280	0.2448790121
281	0.2443606384
282	0.2437487924
283	0.2431683369
284	0.2429596903
285	0.2423029839
286	0.2417203508
287	0.2412323914
288	0.2405900484
289	0.2399210294
290	0.239528053
291	0.2388133553
292	0.2382642697
293	0.2377364509
294	0.2371135791
295	0.2367101871
296	0.2355859674
297	0.2351664612
298	0.2345760413
299	0.2342415689
