iter	Passed	Remaining
0	69	20748
1	84	12636
2	99	9865
3	110	8157
4	121	7147
5	130	6416
6	141	5931
7	148	5431
8	157	5079
9	166	4822
10	174	4577
11	182	4379
12	189	4189
13	197	4035
14	205	3911
15	213	3788
16	221	3679
17	229	3594
18	238	3522
19	246	3447
20	257	3415
21	264	3336
22	271	3268
23	278	3199
24	284	3130
25	291	3070
26	297	3011
27	305	2964
28	311	2914
29	318	2867
30	325	2824
31	332	2781
32	338	2739
33	345	2700
34	352	2666
35	358	2629
36	365	2597
37	372	2565
38	378	2535
39	385	2505
40	392	2478
41	398	2449
42	405	2421
43	411	2393
44	418	2368
45	424	2346
46	431	2323
47	438	2301
48	445	2279
49	451	2258
50	458	2238
51	465	2218
52	471	2197
53	477	2176
54	484	2157
55	490	2138
56	497	2120
57	503	2102
58	510	2084
59	516	2065
60	522	2048
61	529	2032
62	535	2015
63	542	2000
64	549	1986
65	556	1972
66	562	1957
67	569	1941
68	576	1931
69	583	1915
70	589	1901
71	595	1885
72	601	1871
73	608	1857
74	614	1843
75	622	1834
76	628	1819
77	636	1811
78	643	1799
79	650	1788
80	657	1777
81	664	1766
82	671	1755
83	678	1745
84	686	1737
85	693	1725
86	699	1712
87	707	1703
88	715	1695
89	723	1687
90	729	1676
91	736	1666
92	743	1655
93	750	1645
94	758	1636
95	765	1627
96	772	1616
97	779	1606
98	786	1597
99	794	1588
100	801	1579
101	809	1570
102	816	1561
103	823	1551
104	830	1541
105	837	1532
106	844	1523
107	851	1514
108	858	1504
109	868	1500
110	881	1500
111	888	1490
112	894	1479
113	900	1469
114	907	1460
115	915	1452
116	922	1442
117	929	1433
118	935	1423
119	942	1413
120	948	1403
121	955	1393
122	961	1383
123	968	1374
124	975	1365
125	982	1356
126	989	1348
127	1001	1345
128	1009	1338
129	1015	1327
130	1021	1317
131	1027	1307
132	1033	1297
133	1039	1287
134	1045	1277
135	1051	1267
136	1057	1257
137	1063	1248
138	1068	1238
139	1075	1229
140	1081	1220
141	1088	1211
142	1094	1201
143	1100	1192
144	1106	1182
145	1112	1173
146	1118	1164
147	1124	1155
148	1130	1146
149	1137	1137
150	1143	1128
151	1148	1118
152	1154	1109
153	1160	1100
154	1166	1091
155	1173	1083
156	1179	1074
157	1185	1065
158	1191	1056
159	1197	1047
160	1203	1039
161	1211	1031
162	1222	1027
163	1237	1026
164	1247	1020
165	1253	1012
166	1260	1003
167	1266	994
168	1272	986
169	1278	977
170	1285	969
171	1291	961
172	1298	952
173	1304	944
174	1312	937
175	1318	929
176	1325	920
177	1331	912
178	1337	903
179	1343	895
180	1349	887
181	1356	879
182	1362	871
183	1368	862
184	1374	854
185	1380	846
186	1386	837
187	1392	829
188	1398	821
189	1404	813
190	1411	805
191	1417	797
192	1423	788
193	1429	781
194	1435	772
195	1441	764
196	1447	756
197	1453	748
198	1460	741
199	1465	732
200	1472	725
201	1479	717
202	1485	709
203	1491	701
204	1497	693
205	1503	685
206	1509	678
207	1516	670
208	1522	662
209	1528	654
210	1534	647
211	1540	639
212	1546	631
213	1552	623
214	1558	616
215	1564	608
216	1571	601
217	1577	593
218	1583	585
219	1589	577
220	1595	570
221	1601	562
222	1608	555
223	1614	547
224	1620	540
225	1626	532
226	1632	525
227	1638	517
228	1644	509
229	1651	502
230	1657	495
231	1663	487
232	1668	479
233	1674	472
234	1680	464
235	1687	457
236	1693	450
237	1699	442
238	1705	435
239	1711	427
240	1717	420
241	1723	413
242	1729	405
243	1736	398
244	1742	391
245	1751	384
246	1763	378
247	1774	372
248	1787	366
249	1800	360
250	1812	353
251	1826	347
252	1837	341
253	1850	335
254	1861	328
255	1872	321
256	1884	315
257	1900	309
258	1912	302
259	1925	296
260	1937	289
261	1947	282
262	1960	275
263	1973	269
264	1985	262
265	1996	255
266	2002	247
267	2008	239
268	2014	232
269	2019	224
270	2026	216
271	2032	209
272	2038	201
273	2044	193
274	2050	186
275	2056	178
276	2062	171
277	2070	163
278	2075	156
279	2081	148
280	2088	141
281	2094	133
282	2100	126
283	2106	118
284	2111	111
285	2117	103
286	2123	96
287	2129	88
288	2135	81
289	2141	73
290	2148	66
291	2153	59
292	2159	51
293	2165	44
294	2171	36
295	2177	29
296	2184	22
297	2191	14
298	2197	7
299	2202	0
