qid,doc_id_1,doc_id_2,doc_id_3,doc_id_4,doc_id_5
q_00bded640e,d_3837ffb996,d_a3ea97ebfc,d_c43cad7282,d_8357734cfe,d_3b12d1fbd6
q_00e266e75e,d_d235ca1c7e,d_48b105390f,d_61e313b506,d_addeb51081,d_68874c6ad6
q_00f5b94cd8,d_2e1da709f9,d_27974a67a7,d_b25f50310e,d_48b105390f,d_531c852674
q_011d633f6b,d_7ca81d60bb,d_40fbbf0fca,d_4e8802e636,d_721df03545,d_f8b2945e8d
q_01a939bd58,d_74af7b613e,d_3b103df4b8,d_874e7445b2,d_2827d40fb0,d_2c14115663
q_01f70448ab,d_531c852674,d_21e0ba1f08,d_4a9981e720,d_04ba7f2e18,d_4e77c29dc6
q_02a27334fe,d_6c8b749b65,d_70e37b97b5,d_cc4fd16867,d_30bcc6c53e,d_c10a29351e
q_02f13e5457,d_9d7c376f06,d_04962ca9ed,d_f9946fb039,d_af7e1ac3a5,d_57e93fc894
q_032dbe642a,d_2eea1a7eec,d_fb0f7e9797,d_6c8b749b65,d_d68f4ab7ea,d_3b12d1fbd6
q_0340ac3726,d_a99e2c01f3,d_48b105390f,d_6c8b749b65,d_2eea1a7eec,d_61e313b506
q_03c9fe3bc6,d_48b105390f,d_04ba7f2e18,d_c43cad7282,d_a9a59816ed,d_1f74238452
q_0417e42de3,d_6c22be023d,d_d58bcac2e4,d_ce94f32ecd,d_68644240fa,d_721df03545
q_0443ffde1e,d_9d7c376f06,d_847075be4b,d_f9946fb039,d_336654be6d,d_c8ea5907a4
q_04ce3b1954,d_2e1da709f9,d_384357bef5,d_27974a67a7,d_a39559a85e,d_083198d02d
q_053743a92c,d_b74758c0fc,d_031bb856af,d_9d7c376f06,d_25f9900ee0,d_b25f50310e
q_05d61d994e,d_9697d8c629,d_2d7e346926,d_ce94f32ecd,d_3d8e1ad86f,d_f5d1f4d96b
q_065ef32898,d_48b105390f,d_61e313b506,d_d235ca1c7e,d_10c30d1a6c,d_a9a59816ed
q_06e72f01ea,d_a99e2c01f3,d_21e0ba1f08,d_346e3b3d50,d_fac20a2a71,d_ce94f32ecd
q_06f4df96f5,d_6c8b749b65,d_25550ee314,d_647812641b,d_fb0f7e9797,d_cc4fd16867
